x,y,theta
0.9999993167634602,2.999999464849194,1.1773717922824972e-07
1.0000007288680024,2.999999130368306,-2.4362611539264263e-08
1.00000108945835,2.9999986947188253,-3.603473086588668e-08
1.000000409078736,2.999998154631223,8.171385551536371e-08
1.0000007724814908,2.999997721733544,6.951867170812388e-08
1.0000016962454863,2.999997165864737,2.487876571423609e-10
1.0000018622852038,2.9999964098201435,3.390946839987316e-08
1.0000036413164288,2.9999956343386156,-1.202281155743278e-07
1.0000033210336272,2.999994653824841,-1.3759227646128207e-08
1.0000054562390954,2.9999934523095413,-1.7972593302495367e-07
1.000005803221633,2.999991979575418,-1.1691950169145819e-07
1.0000062352340724,2.9999911605117138,-1.100224645278469e-07
1.0000069638867697,2.9999902900141544,-1.342989366936987e-07
1.0000091060429992,2.9999890746681683,-3.0010710733163737e-07
1.000010196408204,2.99998776342339,-3.3582929609421325e-07
1.0000113002389808,2.999986448019883,-3.728383587975324e-07
1.0000109677672357,2.99998548241039,-2.6599088237544183e-07
1.0000124800457655,2.9999844796717,-3.7287124105000526e-07
1.0000138431260144,2.999983393192505,-4.563700772841585e-07
1.000014565693062,2.999982521291383,-4.798344797052277e-07
1.000015335372572,2.999981606323842,-5.057973638811173e-07
1.0000153754124599,2.9999801950021667,-4.113146560014117e-07
1.0000173117522475,2.9999789199439633,-5.48786657339479e-07
1.0000186236121544,2.999977662506798,-6.142644307094384e-07
1.0000186665574131,2.9999762499424087,-5.200365675306298e-07
1.0000208147170382,2.9999750356489576,-6.866172516106727e-07
1.0000216630551158,2.9999738220229504,-7.008170354039177e-07
1.0000237266906793,2.9999715144771,-7.806609956251219e-07
1.0000234200047005,2.999970547963778,-6.767794179518518e-07
1.0000241504368095,2.99996967271138,-7.009302710470025e-07
1.0000248819404385,2.999968792200468,-7.248372534962536e-07
1.0000259773442033,2.999967484239706,-7.613804267059228e-07
1.0000270999661798,2.9999661398924236,-7.985584749015079e-07
1.0000296291344675,2.9999644597437047,-9.770788695351275e-07
1.0000293123458313,2.999963483769144,-8.713503625301636e-07
1.0000304142603653,2.999962166058384,-9.079718337745548e-07
1.000032205366505,2.9999613756033296,-1.0624599646180664e-06
1.0000325745743257,2.9999601124452964,-1.0169953209571135e-06
1.0000337979516256,2.9999586835122565,-1.060044704348505e-06
1.0000354954418624,2.999957428488439,-1.1709099552725823e-06
1.0000362246455965,2.9999565574533893,-1.1952133055492821e-06
1.000037433159676,2.999954921308769,-1.2219600040164215e-06
1.0000380045616386,2.999953601839858,-1.1962495433115463e-06
1.0000385127542923,2.9999532615863016,-1.231932533818371e-06
1.000039927580561,2.999950765193096,-1.2224255280246525e-06
1.0000415310870199,2.999949698068615,-1.3354710248214598e-06
1.0000421422040193,2.999948107906751,-1.295398166456523e-06
1.000043289699615,2.9999467313488446,-1.3332293944401426e-06
1.0000440201023804,2.999945859849761,-1.3576403620207995e-06
1.0000451463413944,2.9999445034437384,-1.3943950037398385e-06
1.0000470677455906,2.9999433656735275,-1.539751192769506e-06
1.000047759826014,2.999942198265603,-1.5388773846880585e-06
1.0000480720780933,2.9999410008558836,-1.491357979444002e-06
1.0000491700206044,2.9999396870997326,-1.5277913095745938e-06
1.0000505221549183,2.999938252675205,-1.5855517916940669e-06
1.0000520444871646,2.9999375948330393,-1.7178330092848562e-06
1.0000531395278542,2.9999362845461186,-1.754170240952928e-06
1.000052845239596,2.99993528067725,-1.649130643488487e-06
1.000054216628356,2.9999338505631687,-1.709451377507333e-06
1.0000551067787617,2.9999325685758507,-1.7237522581536892e-06
1.0000568907218985,2.9999317853584717,-1.877897560120802e-06
1.0000579888431176,2.999930474486338,-1.914554813853277e-06
1.0000585922887515,2.9999295474773158,-1.920179726444539e-06
1.0000587819585385,2.9999281657253443,-1.8453383520689054e-06
1.0000609272969325,2.9999269494915457,-2.0114330841480885e-06
1.0000606172335127,2.9999259723441347,-1.906424704267721e-06
1.0000613446707058,2.999925097675511,-1.9302650999253357e-06
1.0000634856886468,2.9999238870461666,-2.0962458129880653e-06
1.0000638043454135,2.9999223460208544,-2.025339992828282e-06
1.0000642676703804,2.999921595427453,-2.0269303249720346e-06
1.0000664319908357,2.9999203620127384,-2.194041058223299e-06
1.0000669282957388,2.9999195760121182,-2.1970110018476634e-06
1.0000682576522637,2.999918172948573,-2.2543032470734346e-06
1.0000687930441585,2.999917351390521,-2.259358089617973e-06
1.0000692708005272,2.9999161520737085,-2.231115474260474e-06
1.0000697792331574,2.9999149951309922,-2.209446634870997e-06
1.000070960754045,2.9999143923896843,-2.3056317405290055e-06
1.0000726619126084,2.999912902795024,-2.4004372151664775e-06
1.0000723667358329,2.9999119255782887,-2.2971745984867773e-06
1.0000744871973757,2.999910711204515,-2.4604769395253407e-06
1.0000741770728094,2.99990973423329,-2.3554797931590944e-06
1.0000751758981057,2.999908771241902,-2.4049342913778987e-06
1.000077022293674,2.999907631040365,-2.5413132473395353e-06
1.0000767704185984,2.999906624586612,-2.4410754908554898e-06
1.000078918662095,2.9999054052663636,-2.607285590150448e-06
1.0000792849489493,2.999904559803851,-2.5908349595149585e-06
1.0000797074277503,2.999903113722324,-2.5387776126373265e-06
1.000081507219635,2.9999023138001477,-2.693596138747535e-06
1.000082244053945,2.9999014282431884,-2.7177735159034113e-06
1.0000826618670278,2.999899572914165,-2.636419894064269e-06
1.000083757346786,2.999898255394744,-2.67229965095206e-06
1.0000856338398045,2.9998971118281053,-2.811967581894949e-06
1.000086108361949,2.9998962597532444,-2.8077429901629553e-06
1.0000866932123729,2.99989474669736,-2.770019477904564e-06
1.0000888447818441,2.9998935259151174,-2.9365121705371443e-06
1.0000895848026872,2.999892639477118,-2.9610011855751875e-06
1.0000906904108011,2.9998913167290255,-2.997701467499783e-06
1.0000903730976274,2.9998903451165027,-2.892245179297872e-06
1.000092064496211,2.999889547751526,-3.034530396572866e-06
1.000092889553492,2.9998886874115365,-3.0708223240361048e-06
1.000093802619685,2.999887277534367,-3.0788284794414093e-06
1.0000945017511524,2.999886371179207,-3.097124439022103e-06
1.0000955685568904,2.999885230798616,-3.142086245300214e-06
1.0000965726000564,2.999884277649113,-3.1928423062654873e-06
1.0000959166706298,2.9998837118641473,-3.0761981039129087e-06
1.0000980803764956,2.999882470268726,-3.242647253320908e-06
1.0000983582522085,2.9998816255028053,-3.215882965423856e-06
1.0000985432571314,2.9998805617773643,-3.16284975288017e-06
1.0001000211956916,2.9998794080112865,-3.255070448016095e-06
1.0001006880362644,2.999878221593573,-3.2499075863223754e-06
1.0001018951312126,2.9998770975742626,-3.312464976867879e-06
1.000102317563887,2.9998760558847386,-3.2888155315768937e-06
1.0001038734757572,2.999874668278047,-3.373750520119234e-06
1.0001052085795765,2.9998739459427797,-3.4795307188861825e-06
1.000104895128021,2.9998729669441873,-3.3740147988847737e-06
1.0001057318901136,2.999872111700461,-3.412035926686487e-06
1.000106735830915,2.999870767141643,-3.435284697705933e-06
1.0001077105052463,2.999869984901951,-3.4946016506109973e-06
1.0001092646049765,2.9998690943819333,-3.6142403138095277e-06
1.0001099978261752,2.999868215175693,-3.6384399948463682e-06
1.0001110986981612,2.9998669027715024,-3.6753113561993643e-06
1.0001114656501826,2.999866462355726,-3.6873941366977213e-06
1.0001115220352963,2.999865045675593,-3.5944940287580013e-06
1.0001128744174497,2.9998636175006173,-3.652717792790307e-06
1.000114424052866,2.9998629244468087,-3.7857015857123443e-06
1.0001148765619585,2.9998614665424714,-3.7363449627569895e-06
1.0001166464397941,2.9998602643287016,-3.859383311488609e-06
1.00011633493895,2.9998592842116887,-3.7540226252019748e-06
1.0001181430154733,2.9998584740790313,-3.909078151009832e-06
1.0001186718658404,2.999857290164578,-3.887916980360734e-06
1.0001197223351137,2.9998563630583357,-3.945942516958571e-06
1.000121088499952,2.999854951491998,-4.006948413848303e-06
1.0001217947715952,2.999853674221212,-4.0000292327313545e-06
1.0001223064532543,2.999852951110579,-4.0092221376686375e-06
1.0001226177379565,2.9998517689060944,-3.962677134483621e-06
1.00012478066869,2.999850544009565,-4.130195851215213e-06
1.000124829782531,2.999849126069487,-4.036360742920575e-06
1.0001269872565495,2.9998478998439353,-4.203145397840834e-06
1.0001273922550016,2.999846804716485,-4.173703283816276e-06
1.0001278733221466,2.999845585673092,-4.144474899325789e-06
1.00012854770409,2.9998446761654014,-4.159648474333365e-06
1.000130329524251,2.9998439051681443,-4.314369165758779e-06
1.0001296512013265,2.999843361995672,-4.19670329598887e-06
1.0001307697144224,2.9998420303926037,-4.234293425275927e-06
1.0001315033679496,2.99984114779759,-4.258305296434008e-06
1.000133030277622,2.999840126020641,-4.365529603311826e-06
1.0001334026775992,2.99983893929874,-4.325834223217752e-06
1.0001340930684668,2.9998380586849662,-4.3449138864004605e-06
1.0001361124550752,2.9998365179314828,-4.4734166523285896e-06
1.0001359791817284,2.9998357974633953,-4.407192934985374e-06
1.0001381369902587,2.9998345712597354,-4.574013108271659e-06
1.0001386087747355,2.9998338259291097,-4.576969213465622e-06
1.0001385621946037,2.9998327133179643,-4.493367084190683e-06
1.000140361567981,2.999831916398173,-4.648320073130655e-06
1.000140415275027,2.9998304937804425,-4.554701784065255e-06
1.000141157489462,2.9998296101247295,-4.579642591817649e-06
1.0001423089546837,2.9998282377676952,-4.6182329307975534e-06
1.000144046653364,2.999826661836706,-4.71124347106722e-06
1.0001441472879953,2.9998260397648293,-4.6793508390874414e-06
1.0001452616862365,2.9998250988065807,-4.7438938401978035e-06
1.0001466736900297,2.999824370847639,-4.858280559627563e-06
1.0001467281795657,2.9998229515781425,-4.764991943240208e-06
1.0001478399260422,2.9998216197955814,-4.801776043728004e-06
1.000148577835919,2.999820744876555,-4.826825794779224e-06
1.0001496828011192,2.999819422972996,-4.863508796693064e-06
1.0001517917265161,2.9998181916656232,-5.024234237593909e-06
1.0001525763794665,2.9998173143137805,-5.0545923891420805e-06
1.0001536872145067,2.9998159886796225,-5.091701836601462e-06
1.000154535687356,2.999814770009121,-5.105570439201127e-06
1.0001547880280237,2.9998136203252157,-5.054408655502666e-06
1.0001552291516438,2.9998127981951734,-5.048378189875805e-06
1.0001567551412036,2.9998117957778914,-5.156847544651739e-06
1.0001581224359537,2.999810691200377,-5.239541339463479e-06
1.0001581818114433,2.9998092717521927,-5.146817951384728e-06
1.0001603448393024,2.9998080292832285,-5.313097216630435e-06
1.0001604081467286,2.9998066095806237,-5.2208178124568784e-06
1.0001625664061404,2.9998053844132215,-5.387752139041091e-06
1.0001632925825832,2.9998041548203944,-5.386519738914697e-06
1.0001633636182579,2.9998030823073325,-5.319528788239058e-06
1.0001641012632119,2.999802202992319,-5.344238605264906e-06
1.0001652035437025,2.999800879472358,-5.380493223239314e-06
1.0001669303875613,2.9997997100790372,-5.50077598626687e-06
1.0001675510134227,2.9997985594823615,-5.492719873601015e-06
1.0001681773960425,2.9997973306691286,-5.479845870570721e-06
1.0001690261374636,2.999796438843466,-5.51669853271487e-06
1.0001710726565596,2.999795218960561,-5.670903122534387e-06
1.000171699787946,2.9997942812943994,-5.678562586819435e-06
1.000172939749818,2.999792989386604,-5.733174643030036e-06
1.0001733967748971,2.9997921813969413,-5.730002695214519e-06
1.0001747846263644,2.999790787468007,-5.794784133594809e-06
1.0001744880646384,2.999789799377738,-5.6906405053181e-06
1.0001766624826913,2.999788549009859,-5.857692494781752e-06
1.0001773978716118,2.999787669232129,-5.882105579280161e-06
1.0001785142310606,2.9997863362677117,-5.919347437099998e-06
1.0001785756882005,2.999784917232139,-5.82690600464676e-06
1.0001797357054911,2.9997843647358016,-5.924068578744293e-06
1.0001814748077118,2.999782801742034,-6.0181455334707e-06
1.000182209128973,2.9997819237210903,-6.042556800422996e-06
1.000182685973138,2.9997808280357305,-6.021506858133755e-06
1.0001840599636784,2.9997797217669846,-6.104861726530256e-06
1.0001841274074643,2.999778290142885,-6.0122404493823256e-06
1.000185529153984,2.9997769050703904,-6.0792707158863346e-06
1.0001859744153707,2.99977608698623,-6.074012104950747e-06
1.0001877645742143,2.9997752917134926,-6.227978728234899e-06
1.0001884573821505,2.9997736236119548,-6.1920475890597945e-06
1.000189630613184,2.999773067882894,-6.2905292321780035e-06
1.000190439436595,2.999772101272994,-6.317451703152803e-06
1.0001915500695537,2.999770777233838,-6.3546489302846034e-06
1.0001922878088993,2.99976989202455,-6.378955979324821e-06
1.0001927624663063,2.9997687992205,-6.357853744420896e-06
1.000194516148278,2.999767237575356,-6.453731639932695e-06
1.0001952499657532,2.999766357497084,-6.477939298144013e-06
1.0001961474411865,2.9997650973455054,-6.494640699239455e-06
1.0001968236601635,2.9997642928099446,-6.517402068306769e-06
1.0001982372911031,2.999762789434339,-6.577517704553518e-06
1.0001991561721422,2.9997613953348,-6.58732297742494e-06
1.0001990405130377,2.9997604878336945,-6.510049712860082e-06
1.0002003575464775,2.9997595603581115,-6.5992796099423476e-06
1.000200920525073,2.9997582445787434,-6.572873767207736e-06
1.000201659903673,2.9997573630766063,-6.597632837390692e-06
1.0002027691548534,2.999756037654484,-6.634570407837452e-06
1.0002031494478056,2.9997555941059257,-6.647996206476951e-06
1.0002051808140828,2.999753997399564,-6.773952889671547e-06
1.00020641187178,2.9997530382651307,-6.8508831003178e-06
1.0002064749391506,2.999751613547428,-6.758243734028574e-06
1.0002075853322023,2.99975028935834,-6.795401630677062e-06
1.000208330922666,2.9997493984235417,-6.820226349180131e-06
1.0002094387661888,2.9997480724782237,-6.856962126045047e-06
1.0002103785310235,2.9997473973626625,-6.919695031970557e-06
1.0002119930292668,2.9997463817688863,-7.037596071235458e-06
1.000212441639036,2.9997444944917846,-6.957665524720563e-06
1.000213553342532,2.999743173080746,-6.995171953128059e-06
1.0002153697668068,2.9997423515413395,-7.150359718211006e-06
1.0002154561867644,2.999740906337084,-7.05902267994498e-06
1.000216565961454,2.999739579980808,-7.0959558334249485e-06
1.0002179812071537,2.999738838015819,-7.2097153007711005e-06
1.0002184267454723,2.999737360744133,-7.158212599334155e-06
1.0002191687505444,2.999736477785222,-7.183177019365348e-06
1.000220279795969,2.9997351509046344,-7.220222218995452e-06
1.0002214691915854,2.9997338176310175,-7.266000225436573e-06
1.0002229211887077,2.9997328001599297,-7.364722759306572e-06
1.000224674270604,2.9997312537327243,-7.4615927864174675e-06
1.0002253870145406,2.9997300815843926,-7.462825999116093e-06
1.0002258529367154,2.9997285026575735,-7.406577632262955e-06
1.0002269707328897,2.99972716742267,-7.443827332864771e-06
1.0002291402347359,2.999725931386719,-7.611284779995863e-06
1.0002290898171435,2.9997248235179423,-7.527600656864774e-06
1.0002305893866592,2.999723360988639,-7.60065152904945e-06
