X,Y,Theta
0.4,-0.26,
0.4,-0.27,
0.4,-0.27,
0.39,-0.28,
0.39,-0.28,
0.39,-0.28,
0.38,-0.29,
0.38,-0.29,
0.38,-0.3,
0.37,-0.3,
0.37,-0.3,
0.37,-0.31,
0.36,-0.31,
0.36,-0.32,
0.36,-0.32,
0.36,-0.32,
0.35,-0.33,
0.35,-0.33,
0.35,-0.34,
0.34,-0.34,
0.34,-0.35,
0.34,-0.35,
0.33,-0.35,
0.33,-0.36,
0.33,-0.36,
0.32,-0.37,
0.32,-0.37,
0.32,-0.37,
0.31,-0.38,
0.31,-0.38,
0.31,-0.39,
0.3,-0.39,
0.3,-0.39,
0.3,-0.4,
0.29,-0.4,
0.29,-0.41,
0.29,-0.41,
0.28,-0.42,
0.28,-0.42,
0.28,-0.42,
0.27,-0.43,
0.27,-0.43,
0.27,-0.44,
0.26,-0.44,
0.26,-0.44,
0.26,-0.45,
0.25,-0.45,
0.25,-0.46,
0.24,-0.46,
0.24,-0.46,
0.24,-0.47,
0.23,-0.47,
0.23,-0.48,
0.23,-0.48,
0.22,-0.49,
0.22,-0.49,
0.22,-0.49,
0.21,-0.5,
0.21,-0.5,
0.21,-0.51,
0.2,-0.51,
0.2,-0.51,
0.2,-0.52,
0.19,-0.52,
0.19,-0.53,
0.19,-0.53,
0.18,-0.53,
0.18,-0.54,
0.18,-0.54,
0.17,-0.55,
0.17,-0.55,
0.17,-0.55,
0.16,-0.56,
0.16,-0.56,
0.16,-0.57,
0.15,-0.57,
0.15,-0.58,
0.15,-0.58,
0.14,-0.58,
0.14,-0.59,
0.14,-0.59,
0.13,-0.6,
0.13,-0.6,
0.13,-0.6,
0.12,-0.61,
0.12,-0.61,
0.12,-0.62,
0.11,-0.62,
0.11,-0.62,
0.11,-0.63,
0.1,-0.63,
0.1,-0.64,
0.1,-0.64,
0.09,-0.65,
0.09,-0.65,
0.09,-0.65,
0.08,-0.66,
0.08,-0.66,
0.08,-0.67,
0.07,-0.67,
0.07,-0.67,
0.07,-0.68,
0.06,-0.68,
0.06,-0.69,
0.06,-0.69,
0.05,-0.69,
0.05,-0.7,
0.05,-0.7,
0.04,-0.71,
0.04,-0.71,
0.04,-0.71,
0.03,-0.72,
0.03,-0.72,
0.03,-0.73,
0.02,-0.73,
0.02,-0.73,
0.02,-0.74,
0.02,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
